Idade;Sexo;Renda_Men;Obt_info;Forma_diver;Possuir_acessar;Comp_on_pres;Temp_med;Meio_pagamento;Freq_comp_on;Comp_por_rec;Disp_p_comp_on;Valor_med_gasto;Facilidade_nav;Comp_preco;Satisfeito_compra_on;Seg_com_on;Sust_com_on;Crit_comp_on;
51;Masculino;acima de R$ 10.000;Podcasts;Streaming/Conteúdo digital (ex: Netflix, Youtube, Xbox, eventos online...);Mais possuir do que apenas acessar;Loja Virtual (Internet);4;Carteira Digital (cartão no celular);Às vezes (Semestral);Sim;Celular;1000;Concordo totalmente;Concordo totalmente;Discordo em parte;Discordo totamente;Discordo em parte;Qualidade do produto;
54;Masculino;acima de R$ 10.000;Redes Sociais;Streaming/Conteúdo digital (ex: Netflix, Youtube, Xbox, eventos online...);Mais possuir do que apenas acessar;Loja Virtual (Internet);6;Cartão de crédito/débito físico;Às vezes (Semestral);Sim;Celular;300;Concordo em parte;Concordo em parte;Concordo em parte;Nem concordo e nem discordo;Nem concordo e nem discordo;Preço;
61;Masculino;acima de R$ 10.000;Sites online (internet);Streaming/Conteúdo digital (ex: Netflix, Youtube, Xbox, eventos online...);Só possuir;Loja Virtual (Internet);1;Cartão de crédito/débito físico;Às vezes (Semestral);Sim;Celular;100;Concordo totalmente;Concordo totalmente;Concordo em parte;Concordo em parte;Concordo totalmente;Qualidade do produto;
57;Masculino;acima de R$ 10.000;Sites online (internet);Streaming/Conteúdo digital (ex: Netflix, Youtube, Xbox, eventos online...);Mais possuir do que apenas acessar;Loja Física;1;Cartão de crédito/débito físico;Às vezes (Semestral);Sim;Celular;200;Concordo totalmente;Nem concordo e nem discordo;Concordo em parte;Discordo totamente;Discordo totalmente;Qualidade do produto;
58;Masculino;acima de R$ 10.000;TV aberta;Eventos presenciais;Mais possuir do que apenas acessar;Loja Virtual (Internet);1;Carteira Digital (cartão no celular);Frequentemente (Mensal);Não;Celular;100;Concordo em parte;Concordo em parte;Concordo totalmente;Concordo totalmente;Concordo em parte;Atendimento pós-venda;
66;Masculino;de R$ 5.001 a R$ 10.000;TV aberta;Streaming/Conteúdo digital (ex: Netflix, Youtube, Xbox, eventos online...);Mais possuir do que apenas acessar;Loja Virtual (Internet);1;Cartão de crédito/débito físico;Frequentemente (Mensal);Sim;Celular;200;Concordo em parte;Concordo totalmente;Concordo totalmente;Concordo em parte;Concordo em parte;Reputação da loja/site;
60;Masculino;acima de R$ 10.000;Sites online (internet);Eventos presenciais;Mais possuir do que apenas acessar;Loja Física;1;Pix;Frequentemente (Mensal);Não;Celular;1000;Concordo em parte;Concordo totalmente;Concordo totalmente;Discordo em parte;Concordo totalmente;Reputação da loja/site;
65;Masculino;acima de R$ 10.000;Sites online (internet);Eventos presenciais;Só possuir;Loja Física;1;Cartão de crédito/débito físico;Às vezes (Semestral);Não;Computador;100;Discordo totalmente;Concordo totalmente;Nem concordo e nem discordo;Discordo totamente;Nem concordo e nem discordo;Qualidade do produto;
57;Feminino;acima de R$ 10.000;Redes Sociais;Streaming/Conteúdo digital (ex: Netflix, Youtube, Xbox, eventos online...);Só possuir;Loja Virtual (Internet);4;Pix;Frequentemente (Mensal);Sim;Celular;1000;Concordo totalmente;Concordo totalmente;Concordo em parte;Discordo em parte;Concordo em parte;Preço;
57;Masculino;acima de R$ 10.000;Sites online (internet);Streaming/Conteúdo digital (ex: Netflix, Youtube, Xbox, eventos online...);Só possuir;Loja Virtual (Internet);3;Cartão de crédito/débito físico;Frequentemente (Mensal);Sim;Celular;250;Concordo em parte;Concordo em parte;Concordo em parte;Nem concordo e nem discordo;Nem concordo e nem discordo;Qualidade do produto;
56;Masculino;de R$ 5.001 a R$ 10.000;Sites online (internet);Streaming/Conteúdo digital (ex: Netflix, Youtube, Xbox, eventos online...);Mais acessar do que possuir;Loja Virtual (Internet);1;Cartão de crédito/débito físico;Frequentemente (Mensal);Não;Computador;200;Concordo totalmente;Concordo em parte;Concordo em parte;Concordo em parte;Concordo em parte;Avaliação dos outros compradores;
54;Feminino;acima de R$ 10.000;Sites online (internet);Streaming/Conteúdo digital (ex: Netflix, Youtube, Xbox, eventos online...);Só possuir;Loja Virtual (Internet);2;Carteira Digital (cartão no celular);Sempre (Semanal);Não;Celular;5000;Concordo totalmente;Concordo totalmente;Concordo em parte;Nem concordo e nem discordo;Nem concordo e nem discordo;Reputação da loja/site;
60;Masculino;de R$ 5.001 a R$ 10.000;TV aberta;Eventos presenciais;Mais possuir do que apenas acessar;Loja Física;1;Cartão de crédito/débito físico;Frequentemente (Mensal);Não;Celular;500;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo em parte;Nem concordo e nem discordo;Reputação da loja/site;
65;Masculino;de R$ 5.001 a R$ 10.000;Sites online (internet);Streaming/Conteúdo digital (ex: Netflix, Youtube, Xbox, eventos online...);Indiferente;Loja Virtual (Internet);1;Pix;Às vezes (Semestral);Sim;Celular;500;Concordo em parte;Concordo totalmente;Concordo em parte;Concordo em parte;Concordo em parte;Avaliação dos outros compradores;
